university,model,origin_last_year,year,forecast
Federal University of Rio Grande do Norte (UFRN),linear,2025,2026,22.32083333333344
Federal University of Rio Grande do Norte (UFRN),linear,2025,2027,23.198333333333494
Federal University of Rio Grande do Norte (UFRN),linear,2025,2028,24.07583333333355
Federal University of Rio de Janeiro,linear,2025,2026,42.126666666667006
Federal University of Rio de Janeiro,linear,2025,2027,44.99515151515152
Federal University of Rio de Janeiro,linear,2025,2028,47.86363636363694
Federal University of Santa Maria,linear,2025,2026,27.663888888889232
Federal University of Santa Maria,linear,2025,2027,29.522222222222354
Federal University of Santa Maria,linear,2025,2028,31.38055555555593
Federal University of São Carlos,linear,2025,2026,32.38000000000011
Federal University of São Carlos,linear,2025,2027,34.76090909090908
Federal University of São Carlos,linear,2025,2028,37.14181818181805
Federal University of Viçosa,linear,2025,2026,25.440000000000055
Federal University of Viçosa,linear,2025,2027,27.24272727272728
Federal University of Viçosa,linear,2025,2028,29.045454545454504
Federico Santa María Technical University,naive,2025,2026,17.8
Federico Santa María Technical University,naive,2025,2027,17.8
Federico Santa María Technical University,naive,2025,2028,17.8
Feng Chia University,naive,2025,2026,17.8
Feng Chia University,naive,2025,2027,17.8
Feng Chia University,naive,2025,2028,17.8
Ferdowsi University of Mashhad,linear,2025,2026,36.89305555555529
Ferdowsi University of Mashhad,linear,2025,2027,39.380555555555475
Ferdowsi University of Mashhad,linear,2025,2028,41.86805555555566
Flinders University,naive,2025,2026,52.35
Flinders University,naive,2025,2027,52.35
Flinders University,naive,2025,2028,52.35
Florida Institute of Technology,linear,2025,2026,29.44696969696969
Florida Institute of Technology,linear,2025,2027,29.589452214452194
Florida Institute of Technology,linear,2025,2028,29.7319347319347
Florida International University,linear,2025,2026,54.35333333333347
Florida International University,linear,2025,2027,57.59212121212113
Florida International University,linear,2025,2028,60.83090909090879
Florida State University,naive,2025,2026,52.35
Florida State University,naive,2025,2027,52.35
Florida State University,naive,2025,2028,52.35
Fluminense Federal University,naive,2025,2026,17.8
Fluminense Federal University,naive,2025,2027,17.8
Fluminense Federal University,naive,2025,2028,17.8
Free University of Berlin,linear,2025,2026,68.55164835164805
Free University of Berlin,linear,2025,2027,69.64043956043952
Free University of Berlin,linear,2025,2028,70.72923076923053
Free University of Bozen-Bolzano,linear,2025,2026,48.05555555555566
Free University of Bozen-Bolzano,linear,2025,2027,48.782222222222344
Free University of Bozen-Bolzano,linear,2025,2028,49.50888888888903
Fu Jen Catholic University,naive,2025,2026,27.9
Fu Jen Catholic University,naive,2025,2027,27.9
Fu Jen Catholic University,naive,2025,2028,27.9
Fudan University,linear,2025,2026,88.95090909090868
Fudan University,linear,2025,2027,93.96999999999935
Fudan University,linear,2025,2028,98.98909090909001
Gazi University,linear,2025,2026,27.663888888889232
Gazi University,linear,2025,2027,29.522222222222354
Gazi University,linear,2025,2028,31.38055555555593
Gdańsk University of Technology,linear,2025,2026,34.826666666666824
Gdańsk University of Technology,linear,2025,2027,37.55515151515192
Gdańsk University of Technology,linear,2025,2028,40.283636363636106
George Mason University,naive,2025,2026,47.6
George Mason University,naive,2025,2027,47.6
George Mason University,naive,2025,2028,47.6
George Washington University,naive,2025,2026,57.2
George Washington University,naive,2025,2027,57.2
George Washington University,naive,2025,2028,57.2
Georgetown University,naive,2025,2026,57.2
Georgetown University,naive,2025,2027,57.2
