university,origin_year,horizon,model,mae,rmse,n_points,step
Australian National University,2019,3,naive,2.4000000000000057,2.4000000000000057,1,3
Australian National University,2019,3,linear,2.2205555555556202,2.2205555555556202,1,3
Australian National University,2020,3,naive,2.299999999999997,2.299999999999997,1,1
Australian National University,2020,3,linear,2.306666666666686,2.306666666666686,1,1
Australian National University,2020,3,prophet,2.990991921081857,2.990991921081857,1,1
Australian National University,2020,3,naive,2.0999999999999943,2.0999999999999943,1,2
Australian National University,2020,3,linear,2.4642424242424568,2.4642424242424568,1,2
Australian National University,2020,3,prophet,3.0434520510620757,3.0434520510620757,1,2
Australian National University,2020,3,naive,3.0999999999999943,3.0999999999999943,1,3
Australian National University,2020,3,linear,3.82181818181823,3.82181818181823,1,3
Australian National University,2021,3,naive,0.20000000000000284,0.20000000000000284,1,1
Australian National University,2021,3,linear,1.625454545454545,1.625454545454545,1,1
Australian National University,2021,3,prophet,0.477357807318711,0.477357807318711,1,1
Australian National University,2021,3,naive,0.7999999999999972,0.7999999999999972,1,2
Australian National University,2021,3,linear,2.8781818181818153,2.8781818181818153,1,2
Australian National University,2021,3,prophet,0.03527396184227882,0.03527396184227882,1,2
Australian National University,2021,3,naive,2.799999999999997,2.799999999999997,1,3
Australian National University,2021,3,linear,0.4690909090909088,0.4690909090909088,1,3
Australian National University,2022,3,naive,1.0,1.0,1,1
Australian National University,2022,3,linear,2.3363636363636147,2.3363636363636147,1,1
Australian National University,2022,3,prophet,1.1838450868602877,1.1838450868602877,1,1
Australian National University,2022,3,naive,2.5999999999999943,2.5999999999999943,1,2
Australian National University,2022,3,linear,1.0734265734265875,1.0734265734265875,1,2
Australian National University,2022,3,prophet,5.714108288374987,5.714108288374987,1,2
Australian National University,2022,3,naive,0.7000000000000028,0.7000000000000028,1,3
Australian National University,2022,3,linear,1.016783216783196,1.016783216783196,1,3
Boston University,2016,3,naive,0.8000000000000114,0.8000000000000114,1,1
Boston University,2016,3,linear,1.6599999999999966,1.6599999999999966,1,1
Boston University,2016,3,prophet,1.3062584328148859,1.3062584328148859,1,1
Boston University,2016,3,naive,0.6999999999999886,0.6999999999999886,1,2
Boston University,2016,3,linear,0.005714285714276457,0.005714285714276457,1,2
Boston University,2016,3,prophet,4.069581185169753,4.069581185169753,1,2
Boston University,2016,3,naive,1.0999999999999943,1.0999999999999943,1,3
Boston University,2016,3,linear,0.5485714285713925,0.5485714285713925,1,3
Boston University,2017,3,naive,1.5,1.5,1,1
Boston University,2017,3,linear,0.9428571428571502,0.9428571428571502,1,1
Boston University,2017,3,prophet,5.055211647892335,5.055211647892335,1,1
Boston University,2017,3,naive,1.9000000000000057,1.9000000000000057,1,2
Boston University,2017,3,linear,1.6749999999999545,1.6749999999999545,1,2
Boston University,2017,3,prophet,7.096321996979938,7.096321996979938,1,2
Boston University,2017,3,naive,1.5999999999999943,1.5999999999999943,1,3
Boston University,2017,3,linear,1.4928571428571331,1.4928571428571331,1,3
Boston University,2018,3,naive,0.4000000000000057,0.4000000000000057,1,1
Boston University,2018,3,linear,1.203571428571422,1.203571428571422,1,1
Boston University,2018,3,prophet,0.17752325109894684,0.17752325109894684,1,1
Boston University,2018,3,naive,3.0999999999999943,3.0999999999999943,1,2
Boston University,2018,3,linear,2.0428571428571445,2.0428571428571445,1,2
Boston University,2018,3,prophet,3.636866603668352,3.636866603668352,1,2
Boston University,2018,3,naive,4.8999999999999915,4.8999999999999915,1,3
Boston University,2018,3,linear,3.5892857142856514,3.5892857142856514,1,3
Boston University,2019,3,naive,3.5,3.5,1,1
Boston University,2019,3,linear,2.577777777777783,2.577777777777783,1,1
Boston University,2019,3,prophet,5.575259643244351,5.575259643244351,1,1
Boston University,2019,3,naive,5.299999999999997,5.299999999999997,1,2
Boston University,2019,3,linear,4.204444444444434,4.204444444444434,1,2
Boston University,2019,3,prophet,8.322568748891165,8.322568748891165,1,2
Boston University,2019,3,naive,4.5,4.5,1,3
Boston University,2019,3,linear,3.2311111111110904,3.2311111111110904,1,3
Boston University,2020,3,naive,1.7999999999999972,1.7999999999999972,1,1
Boston University,2020,3,linear,3.173333333333332,3.173333333333332,1,1
Boston University,2020,3,prophet,0.36855807462731605,0.36855807462731605,1,1
Boston University,2020,3,naive,1.0,1.0,1,2
Boston University,2020,3,linear,2.0593939393938854,2.0593939393938854,1,2
Boston University,2020,3,prophet,2.60839933672041,2.60839933672041,1,2
Boston University,2020,3,naive,1.0,1.0,1,3
Boston University,2020,3,linear,0.2545454545454504,0.2545454545454504,1,3
Boston University,2021,3,naive,0.7999999999999972,0.7999999999999972,1,1
Boston University,2021,3,linear,0.9054545454545178,0.9054545454545178,1,1
Boston University,2021,3,prophet,3.981788557508878,3.981788557508878,1,1
Boston University,2021,3,naive,2.799999999999997,2.799999999999997,1,2
Boston University,2021,3,linear,1.5527272727272248,1.5527272727272248,1,2
Boston University,2021,3,prophet,7.737029008124807,7.737029008124807,1,2
Boston University,2021,3,naive,0.20000000000000284,0.20000000000000284,1,3
Boston University,2021,3,linear,0.5890909090909133,0.5890909090909133,1,3
Boston University,2022,3,naive,2.0,2.0,1,1
Boston University,2022,3,linear,1.8545454545454731,1.8545454545454731,1,1
Boston University,2022,3,prophet,6.068816555973129,6.068816555973129,1,1
Boston University,2022,3,naive,0.5999999999999943,0.5999999999999943,1,2
Boston University,2022,3,linear,0.2524475524474781,0.2524475524474781,1,2
Boston University,2022,3,prophet,4.971749373295182,4.971749373295182,1,2
Boston University,2022,3,naive,1.0999999999999943,1.0999999999999943,1,3
Boston University,2022,3,linear,0.25944055944054867,0.25944055944054867,1,3
Brown University,2016,3,naive,0.8000000000000114,0.8000000000000114,1,1
Brown University,2016,3,linear,3.0200000000000102,3.0200000000000102,1,1
Brown University,2016,3,prophet,4.485381874085419,4.485381874085419,1,1
Brown University,2016,3,naive,1.2000000000000028,1.2000000000000028,1,2
Brown University,2016,3,linear,3.0400000000000063,3.0400000000000063,1,2
Brown University,2016,3,prophet,7.149225311763416,7.149225311763416,1,2
Brown University,2016,3,naive,1.8000000000000114,1.8000000000000114,1,3
Brown University,2016,3,linear,3.2600000000000193,3.2600000000000193,1,3
Brown University,2017,3,naive,0.3999999999999915,0.3999999999999915,1,1
Brown University,2017,3,linear,1.314285714285731,1.314285714285731,1,1
Brown University,2017,3,prophet,6.519240506569346,6.519240506569346,1,1
Brown University,2017,3,naive,1.0,1.0,1,2
Brown University,2017,3,linear,1.2107142857143174,1.2107142857143174,1,2
Brown University,2017,3,prophet,9.015485418978102,9.015485418978102,1,2
Brown University,2017,3,naive,0.4000000000000057,0.4000000000000057,1,3
Brown University,2017,3,linear,0.8928571428571104,0.8928571428571104,1,3
Brown University,2018,3,naive,0.6000000000000085,0.6000000000000085,1,1
Brown University,2018,3,linear,0.5535714285714732,0.5535714285714732,1,1
Brown University,2018,3,prophet,0.6658541105045117,0.6658541105045117,1,1
Brown University,2018,3,naive,0.7999999999999972,0.7999999999999972,1,2
Brown University,2018,3,linear,1.6595238095237619,1.6595238095237619,1,2
Brown University,2018,3,prophet,2.6677485621900985,2.6677485621900985,1,2
Brown University,2018,3,naive,1.2999999999999972,1.2999999999999972,1,3
Brown University,2018,3,linear,2.9726190476189913,2.9726190476189913,1,3
Brown University,2019,3,naive,1.4000000000000057,1.4000000000000057,1,1
Brown University,2019,3,linear,1.9055555555555657,1.9055555555555657,1,1
Brown University,2019,3,prophet,2.3670368204517303,2.3670368204517303,1,1
Brown University,2019,3,naive,1.9000000000000057,1.9000000000000057,1,2
Brown University,2019,3,linear,3.2555555555554747,3.2555555555554747,1,2
Brown University,2019,3,prophet,3.367134210492793,3.367134210492793,1,2
Brown University,2019,3,naive,2.3000000000000114,2.3000000000000114,1,3
Brown University,2019,3,linear,4.505555555555617,4.505555555555617,1,3
Brown University,2020,3,naive,0.5,0.5,1,1
Brown University,2020,3,linear,2.4933333333333394,2.4933333333333394,1,1
Brown University,2020,3,prophet,0.058732360036515274,0.058732360036515274,1,1
Brown University,2020,3,naive,0.9000000000000057,0.9000000000000057,1,2
Brown University,2020,3,linear,3.6393939393939547,3.6393939393939547,1,2
Brown University,2020,3,prophet,0.06724809328872539,0.06724809328872539,1,2
Brown University,2020,3,naive,0.7000000000000028,0.7000000000000028,1,3
Brown University,2020,3,linear,4.1854545454545615,4.1854545454545615,1,3
Brown University,2021,3,naive,0.4000000000000057,0.4000000000000057,1,1
Brown University,2021,3,linear,2.732727272727203,2.732727272727203,1,1
Brown University,2021,3,prophet,0.5150633856172675,0.5150633856172675,1,1
Brown University,2021,3,naive,0.20000000000000284,0.20000000000000284,1,2
Brown University,2021,3,linear,3.1654545454545797,3.1654545454545797,1,2
Brown University,2021,3,prophet,1.240932060188868,1.240932060188868,1,2
Brown University,2021,3,naive,3.5,3.5,1,3
